Remaining decisions,Money accumulated,Last outcome was positive,Last outcome was negative,Money accumulated > Loan,Money accumulated < Loan,Current decision,Cards chosen from deck (A),Positive last outcome (A),Negative last outcome (A),Positive cards (A),Negative cards (A),Frequency of positive cards (A),Frequency of negative cards (A),Best outcome (A),Worst outcome (A),decisions without choosing (A),Won money (A),Lost money (A),Cards chosen from deck (B),Positive last outcome (B),Negative last outcome (B),Positive cards (B),Negative cards (B),Frequency of positive cards (B),Frequency of negative cards (B),Best outcome (B),Worst outcome (B),decisions without choosing (B),Won money (B),Lost money (B),Cards chosen from deck (C),Positive last outcome (C),Negative last outcome (C),Positive cards (C),Negative cards (C),Frequency of positive cards (C),Frequency of negative cards (C),Best outcome (C),Worst outcome (C),decisions without choosing (C),Won money (C),Lost money (C),Cards chosen from deck (D),Positive last outcome (D),Negative last outcome (D),Positive cards (D),Negative cards (D),Frequency of positive cards (D),Frequency of negative cards (D),Best outcome (D),Worst outcome (D),decisions without choosing (D),Won money (D),Lost money (D),Selected deck,Time
99,1100,True,False,True,False,1,1,True,False,1,0,1.0,0.0,100,100,0,100,0,0,False,False,0,0,0.5,0.5,0,0,1,0,0,0,False,False,0,0,0.5,0.5,0,0,1,0,0,0,False,False,0,0,0.5,0.5,0,0,1,0,0,A,
98,1200,True,False,True,False,2,2,True,False,2,0,1.0,0.0,100,100,0,200,0,0,False,False,0,0,0.5,0.5,0,0,2,0,0,0,False,False,0,0,0.5,0.5,0,0,2,0,0,0,False,False,0,0,0.5,0.5,0,0,2,0,0,A,1029.0
97,1150,False,True,True,False,3,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,0,300,150,0,False,False,0,0,0.5,0.5,0,0,3,0,0,0,False,False,0,0,0.5,0.5,0,0,3,0,0,0,False,False,0,0,0.5,0.5,0,0,3,0,0,B,1426.0
96,1250,True,False,True,False,4,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,1,300,150,1,True,False,1,0,1.0,0.0,100,100,0,100,0,0,False,False,0,0,0.5,0.5,0,0,4,0,0,0,False,False,0,0,0.5,0.5,0,0,4,0,0,B,1605.0
95,100,False,True,False,True,5,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,2,300,150,2,False,True,1,1,0.5,0.5,100,-1150,0,200,1250,0,False,False,0,0,0.5,0.5,0,0,5,0,0,0,False,False,0,0,0.5,0.5,0,0,5,0,0,C,871.0
94,100,True,False,False,True,6,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,3,300,150,2,False,True,1,1,0.5,0.5,100,-1150,1,200,1250,1,0,0,1,0,1.0,0.0,0,0,0,50,50,0,False,False,0,0,0.5,0.5,0,0,6,0,0,D,1410.0
93,150,True,False,False,True,7,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,4,300,150,2,False,True,1,1,0.5,0.5,100,-1150,2,200,1250,1,0,0,1,0,1.0,0.0,0,0,1,50,50,1,True,False,1,0,1.0,0.0,50,50,0,50,0,D,2110.0
92,200,True,False,False,True,8,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,5,300,150,2,False,True,1,1,0.5,0.5,100,-1150,3,200,1250,1,0,0,1,0,1.0,0.0,0,0,2,50,50,2,True,False,2,0,1.0,0.0,50,50,0,100,0,D,1058.0
91,250,True,False,False,True,9,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,6,300,150,2,False,True,1,1,0.5,0.5,100,-1150,4,200,1250,1,0,0,1,0,1.0,0.0,0,0,3,50,50,3,True,False,3,0,1.0,0.0,50,50,0,150,0,D,1036.0
90,300,True,False,False,True,10,3,False,True,2,1,0.6666666666666666,0.3333333333333333,100,-50,7,300,150,2,False,True,1,1,0.5,0.5,100,-1150,5,200,1250,1,0,0,1,0,1.0,0.0,0,0,4,50,50,4,True,False,4,0,1.0,0.0,50,50,0,200,0,D,1008.0
